,Year,Age,Team,GP,GS,Min/Gm,Pt/Gm,Reb/Gm,Ast/Gm,Stl/Gm,Blk/Gm,FG%,3PT%,FT%,BaseSalary
0,2015,19,PHO,76,51,27.7,13.8,2.5,2.6,0.6,0.3,.423,.343,.840,"$2,127,840"
1,2016,20,PHO,78,78,35.0,22.1,3.2,3.4,0.9,0.3,.424,.363,.832,"$2,223,600"
2,2017,21,PHO,54,54,34.5,24.9,4.5,4.7,0.9,0.3,.432,.383,.878,"$2,319,360"
3,2018,22,PHO,64,64,35.0,26.6,4.1,6.8,0.9,0.2,.467,.326,.866,"$3,314,365"
4,2019,23,PHO,70,70,35.9,26.6,4.2,6.5,0.7,0.3,.489,.354,.919,"$25,579,688"
5,2020,24,PHO,67,67,33.9,25.6,4.2,4.3,0.8,0.2,.484,.340,.867,"$29,467,800"
6,2021,25,PHO,68,68,34.4,26.8,5.0,4.8,1.1,0.4,.466,.383,.868,"$31,650,600"
7,2022,26,PHO,53,53,34.6,27.8,4.5,5.5,1.0,0.3,.494,.351,.855,"$33,833,400"
8,2023,27,PHO,68,68,36.0,27.1,4.5,6.9,0.9,0.4,.492,.364,.886,"$36,066,200"
