,Year,Age,Team,GP,GS,Min/Gm,Pt/Gm,Reb/Gm,Ast/Gm,Stl/Gm,Blk/Gm,FG%,3PT%,FT%,BaseSalary
0,2011,30,MIA,51,n/a,32.9,21.9,4.8,4.5,1.7,1.3,.498,.259,.795,"$12,485,268"
1,2012,31,MIA,67,n/a,34.7,21.4,4.9,5.1,1.9,0.8,.526,.262,.722,"$17,182,000"
2,2013,32,MIA,54,53,32.9,19.0,4.5,4.7,1.5,0.5,.545,.281,.733,"$18,673,000"
3,2014,33,MIA,62,62,31.8,21.5,3.5,4.8,1.2,0.3,.470,.284,.768,"$15,000,000"
4,2015,34,MIA,74,73,30.5,19.0,4.1,4.6,1.1,0.6,.456,.159,.793,"$20,000,000"
5,2016,35,CHI,60,59,29.9,18.3,4.5,3.8,1.4,0.7,.434,.310,.794,"$23,200,000"
6,2017,36,MIA,67,3,22.9,11.4,3.8,3.4,0.9,0.7,.438,.288,.714,"$17,878,652"
7,2018,37,MIA,72,2,26.2,15.0,4.0,4.2,0.8,0.5,.433,.330,.708,"$2,393,887"
